t,q1,q2,q3,dq1,dq2,dq3,tau
0.23,0.861578916935676,0.077976703012194,0.0243348137861327,-2.14036257404273,-1.00123017250056,-0.318848452343931,-0.725300160520524
0.24,0.840300279802189,0.0658458649499902,0.0207923616065674,-2.24834557384734,-1.1762011346142,-0.370122554335747,3.00641040852561
0.25,0.818291111986478,0.0522855928993747,0.0168221785680919,-2.27971148208543,-1.29990815959161,-0.405647064735851,6.46461512207266
0.26,0.79626612722248,0.0378252578042542,0.0125816230605362,-2.2418231898058,-1.37442684075108,-0.425888293910999,9.57892137527426
0.27,0.774863157881113,0.0229637818709679,0.00821876728607137,-2.14320037708989,-1.40286057962259,-0.432022758063035,12.2962527128997
0.28,0.754634408640452,0.00815776357719617,0.00386878300278281,-1.99308598020812,-1.38934106555918,-0.425508515611505,14.5799931145901
0.29,0.736040222487176,-0.00618658595020669,-0.000348452444917325,-1.8012034036429,-1.3387090634905,-0.407878949239554,16.4097081547553
0.3,0.719445511034055,-0.019718757268865,-0.00432972058854033,-1.57747293932944,-1.25627102214111,-0.380729192145437,17.7802625511561
0.31,0.705118963568801,-0.0321471824050832,-0.00798914735456741,-1.33177097481245,-1.14748149626376,-0.345879447993634,18.7007348483594
0.32,0.693235046986798,-0.0432408339758002,-0.011258600972939,-1.07358434616921,-1.01800496949561,-0.305081918228765,19.1923891924437
0.33,0.683878418521481,-0.0528291546632535,-0.0140876363164128,-0.811771687444095,-0.873606635291585,-0.25990228064061,19.2868201686156
0.34,0.677050593872925,-0.0608007987581181,-0.0164429100740412,-0.554454559855229,-0.719690707520178,-0.212199152460559,19.0244082279547
0.35,0.672678719575934,-0.0671012982039017,-0.018307767878549,-0.308658261216128,-0.56172357377275,-0.163383292117019,18.4512078793078
0.36,0.670625482455419,-0.0717291126799021,-0.0196809449397681,-0.0804237339082888,-0.40448533613329,-0.115127555698697,17.6180208108458
0.37,0.670700315027556,-0.0747310173660049,-0.0205754068086894,0.125449192354869,-0.252418728486896,-0.0688539766021132,16.5774312937095
0.38,0.67267082201836,-0.0761959316043538,-0.0210167636461152,0.305397243808397,-0.109567760105939,-0.0254728013982025,15.3821149878212
0.39,0.676274150201526,-0.0762480500993307,-0.0210410389490126,0.456933102493475,0.0209466001954126,0.0139590934755271,14.0839364669209
0.4,0.681228293150338,-0.0750397981645745,-0.0206927455284593,0.578736019257447,0.136585351892773,0.048700018878327,12.7318004407794
0.41,0.6872425009033,-0.0727441678273766,-0.0200226374523059,0.670487181426282,0.235568017001546,0.0782270228025188,11.3709134669909
0.42,0.694026806965636,-0.0695472906587948,-0.0190854731153136,0.732791081287569,0.316805295285851,0.102233907739597,10.041748058334
0.43,0.701300440477696,-0.0656413450153443,-0.0179379139780452,0.767052135318422,0.379845203103895,0.120656739351883,8.77939776137073
