dagger/total_timesteps,bc/l2_loss,dagger/round_episode_count,batch_size,rollout/return_std,dagger/mean_episode_reward,bc/neglogp,rollout/return_max,bc/entropy,rollout/return_min,rollout/return_mean,bc/l2_norm,bc/loss,dagger/round_num,bc/epoch,bc/prob_true_act,dagger/round_timestep_count,bc/samples_so_far,bc/batch,bc/ent_loss
,0.0,,32,0.07146065909225303,,-0.7497863431791678,-0.07280261673076893,-1.0881394147872925,-0.2657751373772044,-0.1415633521726704,263.6994323730469,-0.7486982036945313,,2,9.104433673371565,,64032,2000,0.0010881394846364856
,0.0,,32,0.10361527933555179,,-2.2340887460251304,-0.12736971979029477,-1.1017529964447021,-0.41915235565102194,-0.2253242665741709,266.1506652832031,-2.2329869929327595,,2,9.906624825364512,,80032,2500,0.0011017530923709273
,0.0,,32,0.11043793649783228,,-1.477361578466025,-0.08270424520742381,-1.153035044670105,-0.3579977393892477,-0.19725797536420941,269.08013916015625,-1.4762085433766514,,3,8.229762586764519,,96032,3000,0.0011530350893735886
,0.0,,32,0.09691177375263063,,-1.9087800680787486,-0.11045659337105462,-1.1793278455734253,-0.3553033584175864,-0.2180835953433416,270.5394592285156,-1.907600740123279,,3,10.4091613185943,,112032,3500,0.001179327955469489
35700,0.0,17,32,0.05933547521868638,-0.18148096519358017,-1.5807796951270436,-0.07591308470728109,-1.1298152208328247,-0.25660169757611584,-0.16686501759904787,272.056640625,-1.5796498798885157,6,0,10.51172615006012,5100,32,0,0.0011298152385279536
,0.0,,32,0.10412592877827173,,-1.1314610702308343,-0.08489568709774176,-1.2136894464492798,-0.351032966740604,-0.19867630922271928,275.0614318847656,-1.1302473807797284,,0,10.181971703780446,,16032,500,0.0012136894511058927
,0.0,,32,0.09882172019628968,,-1.289926353700572,-0.09526496823400521,-1.2528096437454224,-0.3718039613668225,-0.1949657516283878,276.87060546875,-1.2886735440447195,,0,10.790678155382587,,32032,1000,0.0012528096558526158
,0.0,,32,0.14605143248730298,,-1.2283097043254214,-0.07525569377503416,-1.2531200647354126,-0.42260879355308134,-0.2056831604699255,279.0828552246094,-1.2270565841899055,,1,9.402759598211036,,48032,1500,0.0012531201355159283
,0.0,,32,0.10760789452771366,,1.5631014230251103,-0.08903911489323946,-1.2779085636138916,-0.37385341541084927,-0.18074278803251217,281.4591064453125,1.5643793315915182,,1,8.7466524533195,,64032,2000,0.0012779085664078593
,0.0,,32,0.10186862152256963,,-2.089274149199447,-0.12223092252315837,-1.3341574668884277,-0.4019506692420691,-0.2334442309642327,283.6317138671875,-2.0879399916599155,,2,11.710082723018004,,80032,2500,0.0013341575395315886
,0.0,,32,0.04335086528431306,,-1.503945703015543,-0.09728545682810363,-1.2828491926193237,-0.2185845428648463,-0.14419540639646583,286.4569091796875,-1.5026628537828768,,2,11.805292304880645,,96032,3000,0.0012828492326661944
